=== Monthly Seasonality Index ===
# A tibble: 12 × 3
   month mean_index sd_index
   <int>      <dbl>    <dbl>
 1     1      101.      39.1
 2     2       99.6     39.5
 3     3      114.      39.7
 4     4      104.      45.5
 5     5       96.1     39.9
 6     6       90.2     36.7
 7     7       98.0     43.9
 8     8       92.6     48.4
 9     9       92.9     45.4
10    10      100.      46.6
11    11      102.      41.8
12    12      112.      41.8
