"seasonal","trend","remainder","date"
-655.860523328672,11130.5640699741,2533.29645335459,2020-07-01
646.954113934039,11069.7013085085,1036.34457755748,2020-07-02
6500.92426783209,11008.8385470429,-6235.76281487496,2020-07-03
2420.34024541623,10947.9757855773,-1566.31603099349,2020-07-04
-4442.10523641906,10887.1130241117,2721.99221230741,2020-07-05
-2380.77956464368,10826.250262646,2597.52930199764,2020-07-06
-2089.47329282349,10765.3875011804,2513.08579164305,2020-07-07
-655.860523328672,10704.5247397148,3741.33578361384,2020-07-08
646.954113934039,10643.6619782492,-4647.61609218326,2020-07-09
6500.92426783209,10582.7992167836,-10445.7234846157,2020-07-10
2420.34024541623,10521.936455318,-8736.27670073423,2020-07-11
-4442.10523641906,10461.0736938524,-1570.96845743334,2020-07-12
-2380.77956464368,10400.2109323868,-1623.43136774311,2020-07-13
-2089.47329282349,10339.3481709212,-1619.87487809769,2020-07-14
-655.860523328672,10278.4854094556,-2921.6248861269,2020-07-15
646.954113934039,10217.62264799,-4443.576761924,2020-07-16
6500.92426783209,10156.7598865244,-10215.6841543564,2020-07-17
2420.34024541623,10095.8971250587,-7688.23737047497,2020-07-18
-4442.10523641906,10035.0343635931,-1532.92912717408,2020-07-19
-2380.77956464368,9974.17160212753,-1992.39203748385,2020-07-20
-2089.47329282349,9913.30884066192,-1964.83554783844,2020-07-21
-655.860523328672,9852.44607919631,-3408.58555586764,2020-07-22
646.954113934039,9791.5833177307,-5074.53743166474,2020-07-23
6500.92426783209,9730.7205562651,-10452.6448240972,2020-07-24
2420.34024541623,9669.85779479949,-7138.19804021572,2020-07-25
-4442.10523641906,9608.99503333388,-1384.88979691482,2020-07-26
-2380.77956464368,9548.13227186827,-1965.35270722459,2020-07-27
-2089.47329282349,9487.26951040266,-1879.79621757918,2020-07-28
-655.860523328672,9426.40674893706,-2894.54622560838,2020-07-29
646.954113934039,9441.81095213983,-4360.76506607386,2020-07-30
6500.92426783209,9457.21515534259,-10137.1394231747,2020-07-31
2420.34024541623,9472.61935854536,-6791.95960396159,2020-08-01
-4442.10523641906,9488.02356174813,-841.918325329072,2020-08-02
-2380.77956464368,9503.4277649509,-2990.64820030722,2020-08-03
-2089.47329282349,9518.83196815367,-3030.35867533019,2020-08-04
-655.860523328672,9534.23617135644,-4263.37564802777,2020-08-05
646.954113934039,9549.64037455921,-7436.59448849325,2020-08-06
6500.92426783209,9565.04457776198,-13524.9688455941,2020-08-07
2420.34024541623,9580.44878096475,-9631.78902638098,2020-08-08
